functionName,pcOffset,branch_resolving,branch_resolving_not_issued,dispatch_stall,dispatch_stall_not_issued,drain,drain_not_issued,imc_miss,imc_miss_not_issued,lg_throttle,lg_throttle_not_issued,long_scoreboard,long_scoreboard_not_issued,math_pipe_throttle,math_pipe_throttle_not_issued,misc,no_instructions,no_instructions_not_issued,not_selected,selected,short_scoreboard,short_scoreboard_not_issued,tex_throttle,tex_throttle_not_issued,wait,wait_not_issued
_Z6vecAddPdS_S_i,0,,,,,,,311,301,,,,,4,2,,162,136,7,,,,,,4,4
_Z6vecAddPdS_S_i,16,,,,,,,,,,,,,,,,,,,11,,,,,12,7
_Z6vecAddPdS_S_i,32,,,,,,,,,,,,,,,,,,,10,,,,,36,31
_Z6vecAddPdS_S_i,48,,,,,,,,,,,,,,,,,,4,10,214,111,,,15,13
_Z6vecAddPdS_S_i,64,,,,,,,630,624,,,,,1,,,10,8,1,8,,,,,30,8
_Z6vecAddPdS_S_i,80,,,11,,,,,,,,,,,,,,,12,7,,,,,99,23
_Z6vecAddPdS_S_i,96,,,3,,,,,,,,,,3,,,,,1,8,,,,,30,1
_Z6vecAddPdS_S_i,112,,,1,,,,88,68,,,,,,,3,8,7,,6,,,,,,
_Z6vecAddPdS_S_i,128,,,3,,,,,,,,,,3,2,,6,3,5,4,,,,,24,3
_Z6vecAddPdS_S_i,144,,,78,24,,,,,,,,,68,14,,,,90,5,,,,,27,9
_Z6vecAddPdS_S_i,160,,,2,2,,,,,1,1,,,,,,,,1,3,,,,,7,5
_Z6vecAddPdS_S_i,176,,,,,,,,,19,15,,,,,,,,1,3,,,,,22,5
_Z6vecAddPdS_S_i,192,,,,,,,,,,,,,,,,,,,5,,,,,,
_Z6vecAddPdS_S_i,208,,,,,,,,,,,3902,3695,,,,,,,5,,,4,4,,
_Z6vecAddPdS_S_i,224,,,,,,,,,,,,,,,,,,,4,1636,1601,,,61,60
_Z6vecAddPdS_S_i,240,,,,,,,,,,,,,,,,,,,12,,,,,,
_Z6vecAddPdS_S_i,256,155,153,,,628,620,,,,,,,,,,,,,19,,,,,96,95
